title,rating,release year,family_friendly,age,titleType,startYear,runtimeMinutes,genres,IMDb Rating,numVotes
Corpse Bride,PG,2005,1,teen,movie,2005,77,"Animation,Comedy,Drama",7.4,329183
Underdogs,PG,2013,1,teen,movie,2013,85,"Adventure,Animation,Comedy",6.4,11381
Yellowbird,PG,2014,1,teen,movie,2014,90,"Adventure,Animation,Comedy",5.5,1967
Mr. Magoo,PG,1997,1,teen,movie,1997,87,"Adventure,Comedy,Family",4.1,16935
Baby's Day Out,PG,1994,1,teen,movie,1994,99,"Adventure,Comedy,Crime",6.3,60804
Blank Check,PG,1994,1,teen,movie,1994,93,"Comedy,Crime,Family",5.3,24018
Heavyweights,PG,1995,1,teen,movie,1995,97,"Comedy,Drama,Family",6.6,33361
D2: The Mighty Ducks,PG,1994,1,teen,movie,1994,106,"Comedy,Drama,Family",6.1,45931
"Honey, I Shrunk the Kids",PG,1989,1,teen,movie,1989,93,"Adventure,Comedy,Family",6.4,177758
Dolphin Tale,PG,2011,1,teen,movie,2011,113,"Drama,Family",6.8,26918
Russell Madness,PG,2015,1,teen,movie,2015,92,"Family,Sport",4.3,797
