title,rating,netflix_year,family_friendly,age,titleType,startYear,endYear,runtimeMinutes,genres,IMDb Rating,numVotes
The Vampire Diaries,TV-14,2017,1,teen,tvSeries,2009,2017,43,"Drama,Fantasy,Horror",7.7,384796.0
One Tree Hill,TV-14,2011,1,teen,tvSeries,2003,2012,60,"Drama,Romance,Sport",7.8,94835.0
How I Met Your Mother,TV-PG,2014,1,teen,tvSeries,2005,2014,22,"Comedy,Drama,Romance",8.3,783798.0
It's Always Sunny in Philadelphia,TV-MA,2016,0,adult,tvSeries,2005,0,22,Comedy,8.8,282249.0
Supernatural,TV-14,2016,1,teen,tvSeries,2005,2020,44,"Drama,Fantasy,Horror",8.4,541460.0
Grey's Anatomy,TV-14,2016,1,teen,tvSeries,2005,0,45,"Drama,Romance",7.6,375074.0
Bones,TV-14,2016,1,teen,tvSeries,2005,2017,40,"Crime,Drama,Mystery",7.8,191139.0
Criminal Minds,TV-14,2016,1,teen,tvSeries,2005,0,42,"Crime,Drama,Mystery",8.1,240172.0
NCIS,TV-14,2016,1,teen,tvSeries,2003,0,60,"Action,Crime,Drama",7.8,177018.0
Forensic Files,TV-14,2011,1,teen,tvSeries,1996,2011,30,"Crime,Documentary",8.8,8223.0
